#Organism/Name,Group,SubGroup,Type,RefSeq,INSDC,Size (Kb),GC%,Protein,rRNA,tRNA,Other RNA,Gene,Pseudogene,Release Date,Modify Date
"Leopardus geoffroyi","Animals","Mammals",mitochondrion,NC_028320.1,KP202292,16.738,40.184,13,2,22,-,37,-,2015/11/05,2015/11/17
"Leopardus guigna","Animals","Mammals",mitochondrion,NC_028321.1,KP202293,16.773,40.2552,13,2,22,-,37,-,2015/11/05,2015/11/17
"Leopardus jacobita","Animals","Mammals",mitochondrion,NC_028322.1,KP202294,16.61,40.1144,13,2,22,-,37,-,2015/11/05,2015/11/17
"Leopardus pardalis","Animals","Mammals",mitochondrion,NC_028315.1,KP202284,16.712,40.3423,13,2,22,-,37,-,2015/11/05,2015/11/17
"Leopardus tigrinus","Animals","Mammals",mitochondrion,NC_028317.1,KP202287,16.767,40.2457,13,2,22,-,37,-,2015/11/05,2015/11/17
"Leopardus wiedii","Animals","Mammals",mitochondrion,NC_028318.1,KP202289,16.704,40.2,13,2,22,-,37,-,2015/11/05,2015/11/17
"Leopoldamys edwardsi","Animals","Mammals",mitochondrion,NC_025670.1,KM434322,16.284,39.3147,13,2,22,-,13,-,2014/11/14,2014/12/15
"Lepas anserifera","Animals","Other Animals",mitochondrion,NC_026576.1,KP294311,15.657,36.9356,13,2,22,-,37,-,2015/02/25,2015/03/17
"Lepas australis","Animals","Other Animals",mitochondrion,NC_025295.1,KM017964,15.502,32.4539,13,2,22,-,13,-,2014/10/24,2014/12/15
"Lepeophtheirus salmonis","Animals","Other Animals",mitochondrion,NC_007215.1,AY625897,15.445,34.7556,12,2,22,-,12,-,2005/08/02,2010/02/01
"Lepidium virginicum JO26","Plants","Land Plants",chloroplast,NC_009273.1,AP009374,154.743,36.4701,85,8,37,-,130,-,2007/04/03,2009/12/04
"Lepidoblepharon ophthalmolepis","Animals","Fishes",mitochondrion,NC_024952.1,AP014592,16.805,46.5695,13,2,22,-,13,-,2014/09/25,2015/06/10
"Lepidocampa weberi","Animals","Insects",mitochondrion,NC_022675.1,JN990601,14.36,33.273,13,-,-,-,13,-,2013/11/03,2014/02/04
"Lepidocephalichthys guntea","Animals","Fishes",mitochondrion,NC_031593.1,AP011338,16.567,42.9468,13,2,22,-,37,-,2016/10/21,2016/11/17
"Lepidocephalichthys micropogon","Animals","Fishes",mitochondrion,NC_031595.1,AP011341,16.608,42.2447,13,2,22,-,37,-,2016/10/21,2016/11/17
"Lepidocephalus macrochir","Animals","Fishes",mitochondrion,NC_031596.1,AP011342,16.556,43.525,13,2,22,-,37,-,2016/10/21,2016/11/17
"Lepidochelys olivacea","Animals","Reptiles",mitochondrion,NC_028634.1,JX454991,16.718,37.9292,13,2,22,-,37,-,2015/12/04,2016/02/11
"Lepidodactylus lugubris","Animals","Reptiles",mitochondrion,NC_025782.1,AB738945,16.762,45.0185,13,2,22,-,13,-,2014/11/26,2016/06/28
"Lepidodermella squamata","Animals","Other Animals",mitochondrion,NC_026985.1,KP965862,14.558,41.1526,13,2,22,-,37,-,2015/05/05,2015/06/02
"Lepidodesma languilati","Animals","Other Animals",mitochondrion,NC_029491.1,KT381195,15.754,35.1784,13,2,22,-,37,-,2016/03/01,2016/03/10
"Lepidodinium chlorophorum","Protists","Other Protists",chloroplast,NC_027093.1,LC008447,66.223,34.6103,62,2,27,-,91,-,2015/05/14,2015/05/14
"Lepidophyma flavimaculatum","Animals","Reptiles",mitochondrion,NC_008775.1,AB162908,16.158,44.9808,13,2,22,-,13,-,2007/01/10,2007/01/19
"Lepidopsocidae sp. RS-2001","Animals","Insects",mitochondrion,NC_004816.1,AF335994,16.924,20.9761,13,2,22,-,13,-,2003/06/02,2006/11/27
"Lepidosiren paradoxa","Animals","Fishes",mitochondrion,NC_003342.1,AF302934,16.403,37.231,13,2,22,-,13,-,2001/12/31,2010/02/01
"Lepidozamia peroffskyana","Plants","Land Plants",chloroplast,NC_027513.1,LC049207,165.939,39.9026,87,8,39,-,135,-,2015/07/14,2016/12/30
"Lepilemur hubbardorum","Animals","Mammals",mitochondrion,NC_014453.1,HM070254,16.854,40.6432,13,2,22,-,13,-,2010/08/20,2010/08/23
"Lepilemur ruficaudatus","Animals","Mammals",mitochondrion,NC_021953.1,KC757400,16.936,40.6944,13,2,22,-,13,-,2013/08/06,2016/06/09
"Lepisosteus oculatus","Animals","Fishes",mitochondrion,NC_004744.1,AB042861,16.33,42.4189,13,2,22,-,13,-,2003/04/23,2011/01/06
"Lepisosteus osseus","Animals","Fishes",mitochondrion,NC_008104.1,DQ536423,16.328,42.5037,13,2,22,-,13,-,2006/06/09,2006/08/03
"Lepisosteus platyrhincus","Animals","Fishes",mitochondrion,NC_029715.1,KU199002,16.32,42.4326,13,2,22,-,37,-,2016/03/28,2016/04/12
"Lepomis cyanellus","Animals","Fishes",mitochondrion,NC_020359.1,KC427094,16.485,46.3209,13,2,22,-,13,-,2013/02/25,2014/03/27
"Lepomis gibbosus","Animals","Fishes",mitochondrion,NC_028284.1,KP013097,16.503,47.5429,13,2,22,-,37,-,2015/11/05,2015/11/17
"Lepomis macrochirus","Animals","Fishes",mitochondrion,NC_015984.2,JN389795,16.489,46.9161,13,2,22,-,13,-,2011/09/09,2011/10/26
"Leptailurus serval","Animals","Mammals",mitochondrion,NC_028316.1,KP202286,16.708,39.1369,13,2,22,-,37,-,2015/11/05,2015/11/17
"Leptidea morsei","Animals","Insects",mitochondrion,NC_022686.1,JX274648,15.122,19.7593,13,2,22,-,13,-,2013/11/03,2015/04/01
"Leptobarbus hoevenii","Animals","Fishes",mitochondrion,NC_015528.1,AP011286,16.552,43.8497,13,2,22,-,13,-,2011/05/17,2011/05/24
"Leptobelus gazella","Animals","Insects",mitochondrion,NC_023219.1,JF801955,16.007,21.1532,13,2,22,-,13,-,2014/01/02,2014/01/14
"Leptobotia elongata","Animals","Fishes",mitochondrion,NC_018764.1,JQ230103,16.591,44.4759,13,2,22,-,13,-,2012/10/12,2013/07/10
"Leptobotia mantschurica","Animals","Fishes",mitochondrion,NC_008677.1,AB242170,16.588,42.9527,13,2,21,-,13,-,2006/12/12,2006/12/21
"Leptobotia microphthalma","Animals","Fishes",mitochondrion,NC_024049.1,KC865424,16.512,44.4041,13,2,22,-,13,-,2014/05/02,2014/09/29
"Leptobotia pellegrini","Animals","Fishes",mitochondrion,NC_031602.1,AP011350,16.595,44.417,13,2,22,-,37,-,2016/10/21,2016/11/17
"Leptobotia rubrilabris","Animals","Fishes",mitochondrion,NC_022851.1,KF534784,16.585,44.1845,13,2,22,-,13,-,2013/11/19,2013/12/18
"Leptobotia taeniops","Animals","Fishes",mitochondrion,NC_026130.1,KM386686,16.592,43.9429,13,2,22,-,13,-,2015/01/10,2015/02/04
"Leptobrachium ailaonicum","Animals","Amphibians",mitochondrion,NC_032358.1,KX021991,17.389,40.4279,13,2,23,-,38,-,2016/12/27,2017/01/04
"Leptobrachium boringii","Animals","Amphibians",mitochondrion,NC_024427.1,KJ630505,17.085,40.8253,13,2,23,-,13,-,2014/06/24,2014/07/02
"Leptobrachium chapaense","Animals","Amphibians",mitochondrion,NC_032357.1,KX021990,15.871,35.19,13,2,23,-,38,-,2016/12/27,2017/01/04
"Leptobrachium leishanense","Animals","Amphibians",mitochondrion,NC_031411.1,KU760082,17.485,39.2108,13,2,23,-,38,-,2016/10/13,2016/10/21
"Leptobrachium smithi","Animals","Amphibians",mitochondrion,NC_032316.1,KX021923,17.489,35.8797,13,2,23,-,38,-,2016/12/27,2017/01/04
"Leptocephalus sp. 'type II larva' (Smith, 1989)","Animals","Fishes",mitochondrion,NC_013615.1,AP010868,18.037,42.8619,13,2,23,-,13,-,2009/12/14,2014/06/11
"Leptochilichthys agassizii","Animals","Fishes",mitochondrion,NC_011006.1,AP009403,16.629,48.8123,13,2,22,-,13,-,2008/06/23,2008/07/03
"Leptoclinus maculatus","Animals","Fishes",mitochondrion,NC_027588.1,KT004433,16.524,45.2977,13,2,22,-,37,-,2015/07/23,2015/07/28
"Leptocylindrus danicus ccmp1856","Other","Other",chloroplast,NC_024084.1,KC509524,125.213,31.9695,132,6,31,2,171,-,2014/07/02,2014/07/02
"Leptodea leptodon","Animals","Other Animals",mitochondrion,NC_028522.1,KT723012,16.133,37.5566,13,2,22,-,37,-,2015/12/03,2015/12/07
"Leptodeira polysticta","Animals","Reptiles",mitochondrion,NC_013990.1,EU728590,23.038,35.5413,13,2,22,-,37,-,2010/03/26,2010/03/31
"Leptoderma lubricum","Animals","Fishes",mitochondrion,NC_013557.1,AP009583,16.598,45.7826,13,2,22,-,13,-,2009/12/04,2009/12/18
"Leptoderma macrophthalmum","Animals","Fishes",mitochondrion,NC_015100.1,AP011500,16.607,45.4387,13,2,22,-,13,-,2011/02/07,2011/06/17
"Leptoderma retropinna","Animals","Fishes",mitochondrion,NC_013559.1,AP009584,16.601,45.6418,13,2,22,-,13,-,2009/12/04,2009/12/18
"Leptodius sanguineus","Animals","Other Animals",mitochondrion,NC_029726.1,KT896744,15.48,35.1486,13,2,22,-,37,-,2016/03/28,2016/04/12
"Leptolalax liui","Animals","Amphibians",mitochondrion,NC_032069.1,KX021928,17.242,41.8687,13,2,22,-,37,-,2016/12/07,2017/01/04
"Leptolalax oshanensis","Animals","Amphibians",mitochondrion,NC_020610.1,KC460337,17.747,41.376,13,2,22,-,13,-,2013/03/25,2014/02/28
"Leptomantella albella","Animals","Insects",mitochondrion,NC_024028.1,KJ463364,15.534,26.3358,13,2,22,-,13,-,2014/04/21,2014/05/01
"Leptomyrmex pallens","Animals","Insects",mitochondrion,NC_023093.1,KC160533,15.591,30.4535,13,2,22,-,35,-,2013/12/19,2016/06/28
"Leptonychotes weddellii","Animals","Mammals",mitochondrion,NC_008424.1,AM181025,16.603,40.1193,13,2,22,-,37,-,2006/10/03,2009/04/14
"Leptorhynchoides thecatus","Animals","Other Animals",mitochondrion,NC_006892.1,AY562383,13.888,28.4202,12,2,24,-,12,-,2005/04/02,2010/02/01
"Leptotila verreauxi","Animals","Birds",mitochondrion,NC_015190.1,HM640214,17.176,45.8954,13,2,22,-,13,-,2011/03/03,2016/07/28
"Leptotrombidium akamushi","Animals","Other Animals",mitochondrion,NC_007601.1,AB194045,13.698,32.5303,13,2,22,-,13,-,2005/11/09,2005/11/18
"Leptotrombidium deliense","Animals","Other Animals",mitochondrion,NC_007600.1,AB194044,13.731,30.0488,13,2,22,-,13,-,2005/11/09,2005/11/18
"Leptotrombidium pallidum","Animals","Other Animals",mitochondrion,NC_007177.1,AB180098,16.779,29.0363,13,3,22,-,13,-,2005/07/12,2010/02/01
"Lepturichthys fimbriata","Animals","Fishes",mitochondrion,NC_024609.1,KJ830772,16.567,45.2526,13,2,22,-,13,-,2014/07/28,2014/08/28
"Lepus americanus","Animals","Mammals",mitochondrion,NC_024043.1,KJ397613,17.042,39.4907,13,2,22,-,13,-,2014/04/29,2014/06/18
"Lepus capensis","Animals","Mammals",mitochondrion,NC_015841.1,GU937113,17.722,38.8218,13,2,22,-,13,-,2011/07/14,2011/07/20
"Lepus coreanus","Animals","Mammals",mitochondrion,NC_024259.1,KF040450,17.472,38.8164,13,2,22,-,13,-,2014/06/11,2014/07/02
"Lepus europaeus","Animals","Mammals",mitochondrion,NC_004028.1,AJ421471,17.734,38.7279,13,2,22,-,13,-,2002/06/11,2010/02/01
"Lepus granatensis","Animals","Mammals",mitochondrion,NC_024042.1,KJ397610,16.916,39.1641,13,2,22,-,13,-,2014/04/29,2014/06/18
"Lepus hainanus","Animals","Mammals",mitochondrion,NC_025902.1,JQ219662,16.646,39.4749,13,2,22,-,13,-,2014/12/16,2014/12/16
"Lepus sinensis","Animals","Mammals",mitochondrion,NC_025316.1,KM362831,17.438,39.3508,13,2,22,-,13,-,2014/10/24,2014/12/15
"Lepus timidus","Animals","Mammals",mitochondrion,NC_024040.1,KJ397605,17.755,38.6032,13,2,22,-,13,-,2014/04/29,2014/06/18
"Lepus tolai","Animals","Mammals",mitochondrion,NC_025748.1,KM609214,17.472,38.9366,13,2,22,-,13,-,2014/11/26,2014/12/15
"Lepus townsendii","Animals","Mammals",mitochondrion,NC_024041.1,KJ397609,17.732,38.4728,13,2,22,-,13,-,2014/04/29,2014/06/18
"Lerema accius","Animals","Insects",mitochondrion,NC_029826.1,KT598278,15.338,19.142,13,2,22,-,37,-,2016/04/09,2016/04/27
"Lernaea cyprinacea","Animals","Other Animals",mitochondrion,NC_025239.1,KM235194,14.656,29.2645,13,2,22,-,13,-,2014/10/04,2014/10/16
"Lethe albolineata","Animals","Insects",mitochondrion,NC_028507.1,KF881051,15.248,20.8355,13,2,24,-,39,-,2015/12/03,2015/12/07
"Lethe dura","Animals","Insects",mitochondrion,NC_026062.1,KF906485,15.259,20.7353,13,2,22,-,15,-,2015/01/10,2015/02/04
"Lethenteron camtschaticum","Animals","Fishes",mitochondrion,NC_020465.1,KC353468,16.277,37.8264,13,2,22,-,13,-,2013/03/07,2013/08/06
"Lethenteron reissneri","Animals","Fishes",mitochondrion,NC_014270.1,AB565771,16.461,37.8592,13,2,22,-,13,-,2010/06/30,2010/09/17
"Lethocerus deyrollei","Animals","Insects",mitochondrion,NC_032394.1,-,15.326,30.4058,13,2,21,-,36,-,2016/12/27,2017/01/04
"Lethocerus indicus","Animals","Insects",mitochondrion,NC_027194.1,KR072671,17.632,29.4918,13,2,22,-,37,-,2015/06/02,2015/06/24
"Lethrinops lethrinus","Animals","Fishes",mitochondrion,NC_031419.1,KX595334,16.582,45.9896,13,2,22,-,37,-,2016/10/13,2016/10/21
"Lethrinus laticaudis","Animals","Fishes",mitochondrion,NC_030353.1,KU530221,16.758,47.3923,13,2,22,-,37,-,2016/06/17,2016/06/17
"Lethrinus obsoletus","Animals","Fishes",mitochondrion,NC_009855.1,AP009165,16.779,47.9886,13,2,22,-,13,-,2007/09/28,2007/10/03
"Leucaena trichandra","Plants","Land Plants",chloroplast,NC_028733.1,KT428297,164.692,35.6095,84,8,37,-,129,-,2015/12/17,2015/12/17
"Leucaspius delineatus","Animals","Fishes",mitochondrion,NC_020357.1,AP009307,16.602,45.0428,13,2,22,-,13,-,2013/02/25,2013/03/07
"Leuciscus baicalensis","Animals","Fishes",mitochondrion,NC_024528.1,KF673863,16.606,46.0737,13,2,22,-,13,-,2014/07/28,2014/08/28
"Leuciscus burdigalensis","Animals","Fishes",mitochondrion,NC_029426.1,KT223568,16.607,45.8241,13,2,22,-,37,-,2016/03/01,2016/03/10
"Leuciscus oxyrrhis","Animals","Fishes",mitochondrion,NC_029425.1,KT223567,16.607,45.8602,13,2,22,-,37,-,2016/03/01,2016/03/10
"Leuciscus waleckii","Animals","Fishes",mitochondrion,NC_018825.1,JX573111,16.605,46.0163,13,2,22,-,13,-,2012/10/12,2016/06/08
"Leucocytozoon caulleryi Niigata","Protists","Apicomplexans",apicoplast,NC_022667.1,AP013071,34.779,14.9199,30,4,34,-,68,-,2013/11/05,2013/11/05
"Leucocytozoon caulleryi","Protists","Apicomplexans",mitochondrion,NC_015304.1,AB302215,5.959,31.1965,3,15,-,-,18,-,2011/04/27,2011/04/27
"Leucocytozoon fringillinarum","Protists","Apicomplexans",mitochondrion,NC_012451.1,FJ168564,5.992,32.0761,3,-,-,-,3,-,2009/04/07,2009/04/07
"Leucocytozoon majoris","Protists","Apicomplexans",mitochondrion,NC_012450.1,FJ168563,6.684,32.4357,3,-,-,-,3,-,2009/04/07,2009/04/07
"Leucocytozoon sabrazesi","Protists","Apicomplexans",mitochondrion,NC_009336.1,AB299369,5.935,32.9739,3,-,-,-,18,-,2007/04/05,2007/04/05
"Leucoptera malifoliella","Animals","Insects",mitochondrion,NC_018547.1,JN790955,15.646,17.4358,13,2,22,-,13,-,2012/09/10,2016/07/26
"Leucoraja erinacea","Animals","Fishes",mitochondrion,NC_016429.1,JQ034406,16.724,40.2535,13,2,22,-,13,-,2011/12/06,2012/01/17
"Leucosticte arctoa","Animals","Birds",mitochondrion,NC_025615.1,KM078791,16.801,46.0211,13,2,22,-,13,-,2014/11/14,2014/12/15
"Leucosticte brandti","Animals","Birds",mitochondrion,NC_025604.1,KM078775,16.798,45.9817,13,2,22,-,13,-,2014/11/14,2014/12/15
"Leucothrinax morrisii","Plants","Land Plants",plastid,NC_029961.1,KT312929,158.452,37.3192,86,8,38,-,133,1,2016/04/20,2016/04/20
"Lewinia muelleri","Animals","Birds",mitochondrion,NC_025502.1,KF644584,17.313,43.5742,13,2,22,-,13,-,2014/11/14,2014/12/15
"Lexias dirtea","Animals","Insects",mitochondrion,NC_024399.1,KF590531,15.25,18.6426,13,2,22,-,13,-,2014/06/24,2014/07/02
"Liachirus melanospilos","Animals","Fishes",mitochondrion,NC_023539.1,KF573188,17.001,43.6327,13,2,22,-,13,-,2014/02/28,2014/04/16
"Libelloides macaronius","Animals","Insects",mitochondrion,NC_015609.1,FR669150,15.89,25.5003,13,2,22,-,37,-,2011/05/18,2011/06/03
"Libiocoris heissi","Animals","Insects",mitochondrion,NC_030363.1,JQ780819,15.168,31.3357,13,2,22,-,37,-,2016/06/17,2016/06/17
"Libythea celtis","Animals","Insects",mitochondrion,NC_016724.1,HQ378508,15.164,18.7945,13,2,22,-,13,-,2012/01/17,2012/01/30
"Licania alba","Plants","Land Plants",chloroplast,NC_024064.1,KJ414483,162.467,36.2726,83,8,37,-,130,2,2014/05/06,2014/05/06
"Licania canescens","Plants","Land Plants",chloroplast,NC_030566.1,KX180074,164.238,36.2066,83,8,37,-,130,2,2016/07/12,2016/07/12
"Licania glabriflora","Plants","Land Plants",chloroplast,NC_030567.1,KX180075,162.769,36.1777,83,8,37,-,130,2,2016/07/12,2016/07/12
"Licania heteromorpha","Plants","Land Plants",chloroplast,NC_024062.1,KJ414481,162.833,36.2015,83,8,37,-,130,2,2014/05/06,2014/05/06
"Licania macrophylla","Plants","Land Plants",chloroplast,NC_030568.1,KX180076,162.672,36.206,83,8,37,-,129,1,2016/07/12,2016/07/12
"Licania majuscula","Plants","Land Plants",chloroplast,NC_030569.1,KX180077,162.445,36.2363,83,8,37,-,130,2,2016/07/12,2016/07/12
"Licania membranacea","Plants","Land Plants",chloroplast,NC_030570.1,KX180078,162.201,36.3019,83,8,37,-,130,2,2016/07/12,2016/07/12
"Licania michauxii","Plants","Land Plants",chloroplast,NC_030571.1,KX180079,162.552,36.2204,83,8,37,-,130,2,2016/07/12,2016/07/12
"Licania micrantha","Plants","Land Plants",chloroplast,NC_030572.1,KX180080,162.313,36.2885,83,8,37,-,130,2,2016/07/12,2016/07/12
"Licania minutiflora","Plants","Land Plants",chloroplast,NC_030573.1,KX180081,162.318,36.2591,83,8,37,-,130,2,2016/07/12,2016/07/12
"Licania ovalifolia","Plants","Land Plants",chloroplast,NC_030574.1,KX180082,162.227,36.2843,83,8,37,-,130,2,2016/07/12,2016/07/12
"Licania sprucei","Plants","Land Plants",chloroplast,NC_024065.1,KJ414484,162.228,36.2804,83,8,37,-,130,2,2014/05/06,2014/05/06
"Licania tomentosa","Plants","Land Plants",chloroplast,NC_030575.1,KX180083,162.547,36.2523,83,8,37,-,130,2,2016/07/12,2016/07/12
"Lichtheimia hongkongensis","Fungi","Other Fungi",mitochondrion,NC_024200.1,KJ561171,31.83,34.0936,15,2,25,-,15,-,2014/05/30,2014/09/30
"Ligia oceanica","Animals","Other Animals",mitochondrion,NC_008412.1,DQ442914,15.289,39.1523,13,2,21,-,13,-,2006/10/03,2006/10/13
"Ligusticum tenuissimum","Plants","Land Plants",chloroplast,NC_029394.1,KT963039,158.5,37.6088,88,8,37,-,134,1,2016/03/01,2016/03/01
"Lilium distichum","Plants","Land Plants",chloroplast,NC_029937.1,KT376489,152.598,37.0634,85,8,38,-,131,-,2016/04/20,2016/04/20
"Lilium hansonii","Plants","Land Plants",chloroplast,NC_027674.1,KM103364,152.655,37.0024,83,8,39,-,130,-,2015/08/04,2015/08/04
"Lilium sp. KHK-2014","Plants","Land Plants",chloroplast,NC_027679.1,KM103383,152.715,36.9957,83,8,39,-,130,-,2015/08/04,2015/08/04
"Lilium superbum","Plants","Land Plants",chloroplast,NC_026787.1,KP462883,152.069,37.0384,83,8,38,-,133,4,2015/04/22,2015/08/04
"Lilium tsingtauense","Plants","Land Plants",chloroplast,NC_027675.1,KM103365,152.71,36.9969,84,8,39,-,131,-,2015/08/04,2015/08/04
"Limanda aspera","Animals","Fishes",mitochondrion,NC_028281.1,KP013094,17.194,46.08,13,2,22,-,37,-,2015/11/05,2015/11/17
"Limnephilus decipiens","Animals","Insects",mitochondrion,NC_026219.1,AB971912,16.667,20.4476,13,2,22,-,13,-,2015/01/21,2016/10/13
"Limnonectes fujianensis","Animals","Amphibians",mitochondrion,NC_007440.1,AY974191,17.654,42.3983,13,2,22,-,13,-,2005/10/05,2016/06/10
"Limnoperna fortunei","Animals","Other Animals",mitochondrion,NC_028706.1,KP756905,18.145,31.7773,12,2,24,-,38,-,2015/12/17,2016/02/11
"Limnoria quadripunctata","Animals","Other Animals",mitochondrion,NC_024054.1,KF704000,16.515,33.6482,13,2,24,-,13,-,2014/05/02,2014/06/11
"Limonius californicus","Animals","Insects",mitochondrion,NC_028541.1,KT852377,16.467,29.5439,13,2,22,-,37,-,2015/12/03,2016/04/27
"Limulus polyphemus","Animals","Other Animals",mitochondrion,NC_003057.1,AF216203,14.985,32.4324,13,2,22,-,13,-,2000/05/28,2010/02/01
"Lindenbergia philippensis","Plants","Land Plants",chloroplast,NC_022859.1,HG530133,155.103,37.7942,85,8,37,-,137,-,2013/11/05,2013/11/19
"Linepithema humile","Animals","Insects",mitochondrion,NC_028534.1,KT428891,16.098,19.6795,13,2,23,-,38,-,2015/12/03,2015/12/10
"Lineus alborostratus","Animals","Other Animals",mitochondrion,NC_018356.1,JN234382,15.476,35.2934,13,2,22,-,13,-,2012/08/10,2012/08/22
"Lineus viridis","Animals","Other Animals",mitochondrion,NC_012889.1,FJ839919,15.388,34.254,13,2,22,-,13,-,2009/07/01,2009/09/03
"Liobagrus andersoni","Animals","Fishes",mitochondrion,NC_032035.1,KX767082,16.514,44.5804,13,2,22,-,37,-,2016/12/07,2017/01/04
"Liobagrus anguillicauda","Animals","Fishes",mitochondrion,NC_021602.1,JQ026256,16.536,42.9306,13,2,22,-,13,-,2013/06/29,2013/07/31
"Liobagrus kingi","Animals","Fishes",mitochondrion,NC_020337.1,KC193779,16.483,45.8958,13,2,22,-,13,-,2013/02/25,2014/01/14
"Liobagrus marginatoides","Animals","Fishes",mitochondrion,NC_021122.1,KC473938,16.498,44.3266,13,2,22,-,13,-,2013/04/23,2014/01/23
"Liobagrus marginatus","Animals","Fishes",mitochondrion,NC_022923.1,KC757128,16.497,45.4749,13,2,22,-,13,-,2013/11/27,2014/05/01
"Liobagrus mediadiposalis","Animals","Fishes",mitochondrion,NC_027167.1,KR075136,16.534,44.8349,13,2,22,-,37,-,2015/06/02,2015/06/24
"Liobagrus nigricauda","Animals","Fishes",mitochondrion,NC_021407.1,KC316116,16.512,44.0649,13,2,22,-,13,-,2013/06/10,2013/08/06
"Liobagrus obesus","Animals","Fishes",mitochondrion,NC_008232.1,DQ321752,16.531,45.46,13,2,22,-,13,-,2006/07/04,2007/06/22
"Liogluta microptera","Animals","Insects",mitochondrion,NC_028602.1,KT780655,17.281,21.1735,13,2,22,-,37,-,2015/12/03,2015/12/07
"Liphistius erawan","Animals","Other Animals",mitochondrion,NC_020323.1,JQ407803,14.197,32.2815,13,2,22,-,13,-,2013/02/25,2013/03/07
"Lipolagus ochotensis","Animals","Fishes",mitochondrion,NC_004591.1,AP004101,17.338,48.3331,13,2,22,-,13,-,2003/03/08,2016/07/19
"Liposcelis decolor","Animals","Insects",mitochondrion,NC_023839.1,JX870621,14.405,24.7692,13,2,22,-,13,-,2014/03/26,2014/03/26
"Liposcelis entomophila","Animals","Insects",mitochondrion,NC_025503.1,KF649223,11.599,21.2863,11,-,-,-,14,3,2014/11/14,2014/12/15
"Liposcelis entomophila","Animals","Insects",mitochondrion,NC_025504.1,KF649224,12.675,21.4359,1,2,14,-,13,12,2014/11/14,2014/12/15
"Liposcelis keleri","Animals","Insects",mitochondrion,NC_030594.1,KX171073,14.334,23.4477,12,2,21,-,35,-,2016/07/12,2016/07/21
"Liposcelis paeta","Animals","Insects",mitochondrion,NC_025505.1,KF649225,10.322,23.4935,3,1,11,-,10,7,2014/11/14,2014/12/15
"Liposcelis paeta","Animals","Insects",mitochondrion,NC_025506.1,KF649226,11.5,25.0348,10,1,3,-,11,1,2014/11/14,2014/12/15
"Lipotes vexillifer","Animals","Mammals",mitochondrion,NC_007629.1,AY789529,16.392,39.2204,13,2,22,-,13,-,2005/12/07,2010/02/01
"Liquidambar formosana","Plants","Land Plants",chloroplast,NC_023092.1,KC588388,160.41,37.949,86,8,37,-,132,1,2013/12/20,2013/12/20
"Liriodendron chinense","Plants","Land Plants",chloroplast,NC_030504.1,KU170538,159.429,39.1566,86,8,37,-,132,1,2016/07/12,2016/07/12
"Liriodendron tulipifera","Plants","Land Plants",chloroplast,NC_008326.1,DQ899947,159.886,39.1573,84,8,37,-,129,-,2006/09/06,2010/03/26
"Liriodendron tulipifera","Plants","Land Plants",mitochondrion,NC_021152.1,KC821969,553.721,47.7038,42,3,21,-,71,5,2013/04/30,2014/01/27
"Liriomyza bryoniae","Animals","Insects",mitochondrion,NC_016713.1,JN570504,16.183,20.7316,13,2,22,-,13,-,2012/01/17,2014/01/14
"Liriomyza huidobrensis","Animals","Insects",mitochondrion,NC_016716.1,JN570505,16.236,21.7049,13,2,22,-,13,-,2012/01/17,2014/01/14
"Liriomyza sativae","Animals","Insects",mitochondrion,NC_015926.1,HQ333260,15.551,22.4616,13,2,22,-,13,-,2011/08/10,2011/09/09
"Liriomyza trifolii","Animals","Insects",mitochondrion,NC_014283.1,GU327644,16.141,21.9751,13,2,24,-,13,-,2010/06/30,2011/06/17
"Lissemys punctata","Animals","Reptiles",mitochondrion,NC_012414.1,EF050073,16.49,38.587,13,2,22,-,13,-,2009/03/24,2009/04/13
"Lissemys scutata","Animals","Reptiles",mitochondrion,NC_025494.1,JQ361816,16.512,38.6143,13,2,22,-,13,-,2014/11/14,2014/12/15
"Lista haraldusalis","Animals","Insects",mitochondrion,NC_024535.1,KF709449,15.213,18.4842,13,2,22,-,13,-,2014/07/28,2014/08/28
"Listera fugongensis","Plants","Land Plants",chloroplast,NC_030711.1,KU551270,156.536,37.4438,86,8,38,-,135,3,2016/08/02,2016/08/02
"Lithachne pauciflora","Plants","Land Plants",plastid,NC_026970.1,KJ871002,135.362,38.6194,80,8,38,-,126,-,2015/05/05,2015/05/05
"Lithidiopsis carinatus","Animals","Insects",mitochondrion,NC_020775.1,JX913770,15.652,29.6831,13,2,22,-,1,-,2013/03/25,2013/04/17
"Lithobius forficatus","Animals","Other Animals",mitochondrion,NC_002629.1,AF309492,15.695,32.1058,13,2,22,-,13,-,2000/12/13,2010/02/01
"Lithocarpus balansae","Plants","Land Plants",plastid,NC_026577.1,KP299291,161.02,36.7147,87,8,39,-,134,-,2015/03/27,2015/03/27
"Lithodes nintokuae","Animals","Other Animals",mitochondrion,NC_024202.1,AB769476,15.731,26.7307,13,2,21,-,13,-,2014/05/30,2014/06/11
"Lithodesmium undulatum ccmp1797","Other","Other",chloroplast,NC_024085.1,KC509525,122.66,31.1919,138,6,30,2,176,-,2014/07/02,2014/07/02
"Lithotoma petraea","Plants","Land Plants",plastid,NC_033365.1,KY354215,163.939,39.0157,90,8,36,-,138,4,2017/01/18,2017/01/18
"Litocranius walleri","Animals","Mammals",mitochondrion,NC_020716.1,JN632653,16.438,37.8027,13,2,22,-,13,-,2013/03/25,2013/04/17
